id	title	author	category	lyrics
LS_32	SEMBAH SUJUDLAH UMATNYA	LS	Lagu Sion	"Sembah sujudlah umat-Nya
Di hadapan Allah
Seisi surga tunduklah
Dengarlah sabda-Nya
Dengarlah sabda-Nya

Betapa agung Kodrat-Mu
Perkasa tent’ra-Mu
Tak ada yang setara-Mu
Besarlah kasih-Mu
Besarlah kasih-Mu

Nyanyilah hai umat Tuhan
Puji Jurus’lamat
Mari melangkah ke Sion
Di surga yang suci
Di surga yang suci

Yesus Tuhan maha kuasa
Engkau kami sembah
Ya Tuhan Raja semesta
Jemputlah umat-Mu
Jemputlah umat-Mu"
LS_33	NYANYIKAN DENGAN GEMBIRA	LS	Lagu Sion	"Nyanyikan dengan gembira,
Syair lagu yang indah
Lupakan kesusahanmu,
Dengan lagu yang merdu
Menyanyilah bagi Tuha,
Ia t'lah p'liharakan
Kasih-Nya memimpin kita,
Datang ke hadirat-Nya

Nyanyilah, gembira,
Syair lagu yang indah
Nyanyilah, gembira,
Lagu kemenangan

Kibarkan panji-panji-Nya,
Sambut kedatangan-Nya
Sorakkan gema hosana,
Sembah sujud pada-Nya
Nyanyikan kidung mulia,
Hal Jurus'lamat dunia
C'ritakan kabar gembira,
Kasih dan tebusan-Nya

T'rima kasih pada Bapa,
Sungguh besar kasih-Mu
Penuhilah hati kami,
Dengan syukur dan puji
T'rima kasih Tuhan Yesus,
Engkau Jurus'lamatku
Ya Roh Kudus tuntun kami,
Sembah puji Ilahi"
LS_34	SEMUA MAKHLUK PUJI TUHAN	LS	Lagu Sion	"Semua yang bernafas
mari puji Tuhan
Khalik yang t'lah bangkit
dengan kem'nangan
Yang ciptakan kami,
Pelindung setiawan
Yang memimpin kami
kekal abadi
Panji-Nya kibarkan,
terang-Nya di depan
Tiang api terang
di malam hari
Sehingga bayang
dan keg'lapan menepi
Saat terang surga
makin bersinar

Bintang di angkasa
menurut p'rintah-Nya
Matahari tetap t'rang bercahaya
Sungai, mata air,
gunung serta lembah
Samud'ra raya
nyatakan kuasa-Nya
Kami menyanyi
dengan p'nuh kesukaan
Dengan sukacita
sembahlah Dia
Hingga semua mahluk
bersama bersyukur
Memuji, hosanna,
bagi sang Raja"
LS_35	YESUS BAGAIKAN GEMBALA	LS	Lagu Sion	"Yesus bagaikan Gembala,
Kami ini domba-Nya
Dia pimpin dan menjaga,
S'lama kami di dunia
Tuhan Yesus, Tuhan Yesus,
Kami jadi milik-Mu
Tuhan Yesus, Tuhan Yesus,
Kami jadi milik-Mu

Ya Gembala pimpin kami,
Pada jalan yang lurus
Agar kami jangan lari,
Dari kandang yang kudus
Tuhan Yesus, Tuhan Yesus,
Dengarlah doa kami
Tuhan Yesus, Tuhan Yesus,
Dengarlah doa kami

Engkau sudah janji pula,
Menjemput yang tersesat
Tuhan, Engkau maha murah,
Menolong orang penat
Tuhan Yesus, Tuhan Yesus,
Kami datang pada-Mu
Tuhan Yesus, Tuhan Yesus,
Kami datang pada-Mu"
LS_36	MENYANYILAH HAI JIWAKU	LS	Lagu Sion	"Menyanyilah hai jiwaku,
Pujilah Penciptamu
Kasih teguh setiap hari,
Rahmat surga abadi
Tuhan dengan seruanku,
Malaikat melindungiku
Dinaunginya aku

Tuhan dekat pada insan, Yan mencari wajah-Nya
Yang lemah dib'ri kekuatan, Rahmat-Nya pun melimpah
Walau prahara menimpa, Duka berganti gembira
Berkat-Nya tak terhingga,

Tuhan hadapkan wajah-Nya, Dan b'rikan kedamaian
Kekallah kasih-Nya, Kepada yang beriman
Tuhan tak akan tinggalkan, Umat-Nya yang setiawan
Kekal kerajaan-Nya"
LS_37	WAKTU PAGI YA TUHANKU	LS	Lagu Sion	"Waktu pagi yang Tuhanku, Dengarlah suaraku
Menyampaikan doa teduh, Dan pandang wajah-Mu

Ke hadirat-Mu ya Allah, Yesus Kristus t'lah naik
Menghadapkan permohonan, Segala orang baik

Pimpin aku ya Roh Allah, Dalam kebenaran
Luruskan dan nyatakanlah, S'gala kewajiban

Yang kasih dan takut Tuhan, Beroleh rahmat-Nya
Dib'rikan-Nya perlindungan, Dalam pimpinan-Nya"
LS_38	MARI PUJI NAMA YESUS	LS	Lagu Sion	"Mari puji nama Yesus, Bersama Malaikat
Bawalah mahkota mulia, Dan rajakan Yesus
Bawalah mahkota mulia, Dan rajakan Yesus

Marilah umat tebusan, Yang dipilih Allah
Puji Dia yang s'lamatkan, Dan rajakan Yesus
Puji Dia yang s'lamatkan, Dan rajakan Yesus

Segala kaum dan bangsa, Di dalam dunia
Puji Dia yang mulia, Dan rajakan Yesus
Puji Dia yang mulia, Dan rajakan Yesus

Dengan malaikat di surga, Kita sembah Yesus
Memuji Dia di sana, Dan rajakan Yesus
Memuji Dia di sana. Dan rajakan Yesus"
LS_39	PUJI SYUKUR BAGI-NYA	LS	Lagu Sion	"Puji syukur bagi-Nya
Kar'na Allah itu baik
Anug'rah-Nya abadi
Setia dan mengasihi

Dengan kuasa sabda-Nya
Diciptakan-Nya dunia
Anug'rah-Nya abadi
Setia dan mengasihi

Yang hidup di p'lihara
Dengan berkat yang limpah
Anug'rah-Nya abadi
Setia dan mengasihi

Puji syukur bagi-Nya
Kar'na Allah itu baik
Anug'rah-Nya abadi
Setia dan mengasihi"
LS_40	TUHAN PIMPINLAH AKU	LS	Lagu Sion	"Tuhan pimpinlah aku, Sampai ujung jalanku
Serta-Mu aku s'lamat, Kasih-Mu memb'ri berkat

Pimpin, pimpin, Tuhan pimpinlah aku
Dalam susah dan senang, Tuhan pimpinlah aku

Engkau benteng jiwaku, Aku harap pada-Mu
Kalau aku digoda, Kasih-Mu memb'ri kuasa

Tuhan pimpin aku t'rus, Pada jalan yang lurus
Sampai neg'ri yang kudus, Tempat kulihat Yesus"
LS_41	SAMBUTLAH SABAT TUHAN	LS	Lagu Sion	"Sambutlah Sabat Tuhan, Hari yang dinanti
Pagi indah berseri, Ganti malam sepi
Bagai siraman hujan, Ke tanah yang gersang
Dan pohon kehidupan, Di teriknya padang

Tuhan kami membawa, Persembahan ini
Hasil usaha kami, Berkatilah kami
Kami serahkan diri, Dalam kasih suci
Dan dengan rendah hati, Di tuntun Roh Suci

Kami datang pada-Mu, Bawa beban dosa
Sujud di hadirat-Mu, Mohon ampun dosa
Kerja belum selesai, Sedih terasakan
Banyak berkat terbuang, Tak dimanfaatkan

Di dalam kesusahan, Iman kami teguh
Agar menjadi suci, Dan kasih pada-Mu
Di hadapan tahta-Mu, Kami diampuni
Damai surga abadi, Jadi milik kami."
LS_43	S'LAMAT MALAM	LS	Lagu Sion	"Apabila malam tiba,
Dan usailah waktu kerja
Seakan semesta alam
Mengucapkan s'lamat malam

S'lamat malam, Harap m'laikat
Menjaga s'panjang malam g'lap
S'lamat malam, s'lamat malam

Dan bila malam tambah g'lap
Nampak hanya sunyi senyap
Menyampaikan doa malam
Dan ucapkan s'lamat malam,

Ya Bapa b'ri perhentian
Dari s'gala pergumulan
Hingga masuk ke surga t'rang
Tiada lagi s'lamat malam."
